"Step","LunarLander_with_labels_1000_good_reward - episode_reward","LunarLander_with_labels_1000_good_reward - episode_reward__MIN","LunarLander_with_labels_1000_good_reward - episode_reward__MAX"
"329","-269.13521135628224","-269.13521135628224","-269.13521135628224"
"330","-242.20291151199825","-242.20291151199825","-242.20291151199825"
"331","-133.7943242646009","-133.7943242646009","-133.7943242646009"
"332","-177.068719167265","-177.068719167265","-177.068719167265"
"333","-173.1942772903692","-173.1942772903692","-173.1942772903692"
"334","-212.29794726430424","-212.29794726430424","-212.29794726430424"
"335","-328.22200348412093","-328.22200348412093","-328.22200348412093"
"336","-288.54656035320943","-288.54656035320943","-288.54656035320943"
"337","-430.6288628546688","-430.6288628546688","-430.6288628546688"
"338","-266.2188363081381","-266.2188363081381","-266.2188363081381"
"339","-199.76185364189504","-199.76185364189504","-199.76185364189504"
"340","-378.9449496965352","-378.9449496965352","-378.9449496965352"
"341","-136.24310761632736","-136.24310761632736","-136.24310761632736"
"342","-228.17490268811582","-228.17490268811582","-228.17490268811582"
"343","-149.31403217405085","-149.31403217405085","-149.31403217405085"
"344","-327.1491067160571","-327.1491067160571","-327.1491067160571"
"345","-265.2784933531278","-265.2784933531278","-265.2784933531278"
"346","-100.23354416534305","-100.23354416534305","-100.23354416534305"
"347","-133.70537569113077","-133.70537569113077","-133.70537569113077"
"348","-234.90152606509878","-234.90152606509878","-234.90152606509878"
"349","-259.5415136548193","-259.5415136548193","-259.5415136548193"
"350","-317.4181768457639","-317.4181768457639","-317.4181768457639"
"351","-343.27729251293596","-343.27729251293596","-343.27729251293596"
"352","-281.3274719236794","-281.3274719236794","-281.3274719236794"
"353","-319.12825971282257","-319.12825971282257","-319.12825971282257"
"354","-241.8858541141355","-241.8858541141355","-241.8858541141355"
"355","-269.83728520930197","-269.83728520930197","-269.83728520930197"
"356","-311.5599012766779","-311.5599012766779","-311.5599012766779"
"357","-108.27867860278418","-108.27867860278418","-108.27867860278418"
"358","-323.76411388840654","-323.76411388840654","-323.76411388840654"
"359","-398.6326891025901","-398.6326891025901","-398.6326891025901"
"360","-326.3760865059836","-326.3760865059836","-326.3760865059836"
"361","-224.87987553033798","-224.87987553033798","-224.87987553033798"
"362","-80.44277755933106","-80.44277755933106","-80.44277755933106"
"363","-124.62969906892317","-124.62969906892317","-124.62969906892317"
"364","-187.84909123510124","-187.84909123510124","-187.84909123510124"
"365","18.8963776609958","18.8963776609958","18.8963776609958"
"366","45.78642854591147","45.78642854591147","45.78642854591147"
"367","-305.71455487414414","-305.71455487414414","-305.71455487414414"
"368","-345.7740768084841","-345.7740768084841","-345.7740768084841"
"369","-104.22614135904384","-104.22614135904384","-104.22614135904384"
"370","-90.06044651551198","-90.06044651551198","-90.06044651551198"
"371","-341.57754034553676","-341.57754034553676","-341.57754034553676"
